ID,Country code,Country,GDP per capita in USD,Mean height
125,ROU,Romania,12919.5296441908,177.8235057
126,RUS,Russian Federation,11584.9953826104,176.6489555
127,RWA,Rwanda,820.025241658159,166.0231738
128,WSM,Samoa,4324.01401840457,174.4168439
129,STP,Sao Tome and Principe,1946.64361370086,170.3699634
130,SAU,Saudi Arabia,23139.7986561214,170.6654708
131,SEN,Senegal,1446.83096499408,176.1772132
132,SRB,Serbia,7411.83611634734,180.7387125
133,SYC,Seychelles,17448.2702926831,175.8975925
134,SLE,Sierra Leone,527.533634399111,166.4285078
135,SGP,Singapore,65233.2824392302,173.4965252
136,SVN,Slovenia,25946.1821852127,180.9774125
137,SLB,Solomon Islands,2373.63247042576,163.0694439
138,ZAF,South Africa,6001.40081394888,169.6258335
139,ESP,Spain,29600.3782526602,176.1060863
140,LKA,Sri Lanka,3853.08369288942,168.0746406
141,SDN,Sudan,441.505603374484,172.0735944
142,SUR,Suriname,6359.83361442737,174.5144365
143,SWE,Sweden,51615.0206514946,180.4567319
144,CHE,Switzerland,81993.72712595,178.7319158
145,TJK,Tajikistan,870.787589323223,168.431278
146,TZA,Tanzania,1122.12181047515,166.9789255
147,THA,Thailand,7806.74221105532,171.611156
148,TLS,Timor-Leste,1560.50982160188,160.1305426
149,TGO,Togo,679.290249091295,170.1359032
150,TON,Tonga,4903.15290276599,175.113118
151,TTO,Trinidad and Tobago,17397.9817601543,176.0332708
152,TUN,Tunisia,3317.4535932122,176.8533816
153,TUR,Turkey,9126.56134585014,176.3558226
154,TUV,Tuvalu,4059.02999569444,171.2982381
155,UGA,Uganda,794.341077917102,168.7360393
156,UKR,Ukraine,3659.03131229487,180.9759732
157,ARE,United Arab Emirates,43103.3230583165,174.0772556
158,GBR,United Kingdom,42330.117537005,178.2080213
159,URY,Uruguay,16190.126957465,174.3233096
160,UZB,Uzbekistan,1724.8411344137,170.9421714
161,VUT,Vanuatu,3115.35862043261,168.2940483
162,ZMB,Zambia,1305.06325350544,167.6155929
163,ZWE,Zimbabwe,1463.98591018054,170.6857544
