ID,Country,Country code,GDP per capita in USD,Sex,Mean height of 19-year-olds in cm
106,France,FRA,40493.9285720456,Boys,178.6048688
107,France,FRA,40493.9285720456,Girls,164.4886274
108,Gabon,GAB,7767.01340440788,Boys,170.4814842
109,Gabon,GAB,7767.01340440788,Girls,160.0451908
110,United Kingdom,GBR,42330.117537005,Boys,178.2080213
111,United Kingdom,GBR,42330.117537005,Girls,163.9391448
112,Georgia,GEO,4697.7045759469,Boys,175.9786311
113,Georgia,GEO,4697.7045759469,Girls,163.2390056
114,Ghana,GHA,2202.11556738065,Boys,170.3046673
115,Ghana,GHA,2202.11556738065,Girls,158.8551002
116,Guinea,GIN,962.839908587778,Boys,170.6992167
117,Guinea,GIN,962.839908587778,Girls,158.7521597
118,Equatorial Guinea,GNQ,8131.92388810912,Boys,168.1772539
119,Equatorial Guinea,GNQ,8131.92388810912,Girls,158.049563
120,Greece,GRC,19582.5359794936,Boys,179.2597832
121,Greece,GRC,19582.5359794936,Girls,165.8130758
122,Grenada,GRD,10808.6721222084,Boys,178.6999159
123,Grenada,GRD,10808.6721222084,Girls,165.9886854
124,Guatemala,GTM,4619.98525821971,Boys,164.3575117
125,Guatemala,GTM,4619.98525821971,Girls,150.9139679
126,Guyana,GUY,6609.58642503371,Boys,172.1502463
127,Guyana,GUY,6609.58642503371,Girls,159.5686675
128,Honduras,HND,2574.91219067443,Boys,169.5905441
129,Honduras,HND,2574.91219067443,Girls,155.1831397
130,Croatia,HRV,14936.100547343,Boys,180.7589162
131,Croatia,HRV,14936.100547343,Girls,166.8030687
132,Haiti,HTI,1272.4909246734,Boys,172.229052
133,Haiti,HTI,1272.4909246734,Girls,160.5749918
134,Hungary,HUN,16731.8215139051,Boys,176.5873222
135,Hungary,HUN,16731.8215139051,Girls,162.5462546
136,Indonesia,IDN,4135.56926281554,Boys,166.2576675
137,Indonesia,IDN,4135.56926281554,Girls,154.3551613
138,India,IND,2099.59904810855,Boys,166.4952701
139,India,IND,2099.59904810855,Girls,155.1781714
140,Ireland,IRL,78660.9564629603,Boys,179.0393832
141,Ireland,IRL,78660.9564629603,Girls,164.4968527
142,Iraq,IRQ,5955.10901036816,Boys,173.7936893
143,Iraq,IRQ,5955.10901036816,Girls,158.748746
144,Iceland,ISL,66944.8330769825,Boys,182.1015752
145,Iceland,ISL,66944.8330769825,Girls,168.9134842
146,Israel,ISR,43592.0835823234,Boys,175.9835635
147,Israel,ISR,43592.0835823234,Girls,162.2225456
148,Italy,ITA,33228.2366803707,Boys,174.4246967
149,Italy,ITA,33228.2366803707,Girls,161.810158
150,Jamaica,JAM,5582.26377755211,Boys,176.9742253
151,Jamaica,JAM,5582.26377755211,Girls,164.3192602
152,Jordan,JOR,4405.48841230824,Boys,174.8389689
153,Jordan,JOR,4405.48841230824,Girls,159.4624081
154,Japan,JPN,40246.8801284164,Boys,172.0628269
155,Japan,JPN,40246.8801284164,Girls,158.5037434
156,Kazakhstan,KAZ,9812.39037613835,Boys,175.4969273
157,Kazakhstan,KAZ,9812.39037613835,Girls,161.7446106
158,Kenya,KEN,1816.5469164389,Boys,170.4552667
159,Kenya,KEN,1816.5469164389,Girls,159.4338103
160,Cambodia,KHM,1643.12138876539,Boys,165.3497028
161,Cambodia,KHM,1643.12138876539,Girls,154.749508
162,Kiribati,KIR,1655.07883905984,Boys,170.0907706
163,Kiribati,KIR,1655.07883905984,Girls,161.0399239
164,Kuwait,KWT,32000.4484691578,Boys,174.9625093
165,Kuwait,KWT,32000.4484691578,Girls,160.1019556
166,Lao PDR,LAO,2534.89827991125,Boys,162.7805915
167,Lao PDR,LAO,2534.89827991125,Girls,153.0990839
168,Lebanon,LBN,7583.69472170648,Boys,178.9571414
169,Lebanon,LBN,7583.69472170648,Girls,163.6704906
170,Liberia,LBR,621.892953622715,Boys,165.4756122
171,Liberia,LBR,621.892953622715,Girls,156.5414075
172,Libya,LBY,7685.94926653003,Boys,176.3925096
173,Libya,LBY,7685.94926653003,Girls,162.5616604
174,Sri Lanka,LKA,3853.08369288942,Boys,168.0746406
175,Sri Lanka,LKA,3853.08369288942,Girls,155.8757964
176,Lesotho,LSO,1118.13128380194,Boys,167.9243988
177,Lesotho,LSO,1118.13128380194,Girls,156.7207687
178,Lithuania,LTU,19601.8908343885,Boys,180.7233147
179,Lithuania,LTU,19601.8908343885,Girls,167.6298923
180,Luxembourg,LUX,114704.594170863,Boys,178.4613975
181,Luxembourg,LUX,114704.594170863,Girls,165.0690213
182,Latvia,LVA,17828.8946571856,Boys,181.1711171
183,Latvia,LVA,17828.8946571856,Girls,168.8066284
184,Morocco,MAR,3204.09500313298,Boys,176.3518212
185,Morocco,MAR,3204.09500313298,Girls,161.1808557
186,Moldova,MDA,4503.51698538847,Boys,175.5891559
187,Moldova,MDA,4503.51698538847,Girls,162.9612374
188,Madagascar,MDG,523.359064460847,Boys,165.1618753
189,Madagascar,MDG,523.359064460847,Girls,153.0638056
190,Maldives,MDV,10626.513402239,Boys,167.8666326
191,Maldives,MDV,10626.513402239,Girls,154.2846913
192,Mexico,MEX,9946.03382879198,Boys,170.2864395
193,Mexico,MEX,9946.03382879198,Girls,157.9019214
194,Mali,MLI,879.008010446655,Boys,175.0153974
195,Mali,MLI,879.008010446655,Girls,161.9892021
196,Malta,MLT,29820.6032474099,Boys,174.3767502
197,Malta,MLT,29820.6032474099,Girls,162.9504739
198,Myanmar,MMR,1407.81314341043,Boys,166.6975031
199,Myanmar,MMR,1407.81314341043,Girls,154.7139858
200,Montenegro,MNE,8908.93479246767,Boys,183.3021555
201,Montenegro,MNE,8908.93479246767,Girls,169.9608833
202,Mongolia,MNG,4339.84327925027,Boys,170.6720031
203,Mongolia,MNG,4339.84327925027,Girls,159.8935082
204,Mozambique,MOZ,503.570772675202,Boys,164.2967622
205,Mozambique,MOZ,503.570772675202,Girls,155.4209895
206,Mauritania,MRT,1679.44487300408,Boys,165.5443523
207,Mauritania,MRT,1679.44487300408,Girls,160.0617358
208,Mauritius,MUS,11099.2402835688,Boys,173.0061028
209,Mauritius,MUS,11099.2402835688,Girls,158.9428354
210,Malawi,MWI,411.552340423602,Boys,165.6750686
211,Malawi,MWI,411.552340423602,Girls,156.1409983
212,Malaysia,MYS,11414.2069765208,Boys,169.2035
213,Malaysia,MYS,11414.2069765208,Girls,157.0637126
214,Namibia,NAM,4957.45822226408,Boys,169.7457063
215,Namibia,NAM,4957.45822226408,Girls,160.2561216
216,Niger,NER,553.89505038138,Boys,170.2606015
217,Niger,NER,553.89505038138,Girls,159.8149349
218,Nigeria,NGA,2229.85869624463,Boys,171.5504656
219,Nigeria,NGA,2229.85869624463,Girls,158.137273
220,Nicaragua,NIC,1912.90374537869,Boys,169.9128092
221,Nicaragua,NIC,1912.90374537869,Girls,155.621106
222,Netherlands,NLD,52331.3167277797,Boys,183.7823942
